datetime,open,high,low,close,volume,support,resis
2021-12-02 02:00:00,209.24,209.38,206.75,207.16,20904.11926762,40.59,290.56
2021-12-02 03:00:00,207.18,207.18,200.14,202.51,42789.94140328,40.59,290.56
2021-12-02 04:00:00,202.47,203.72,202.21,203.17,9834.61935747,40.59,290.56
2021-12-02 05:00:00,203.08,204.66,202.78,204.26,6997.46527241,40.59,290.56
2021-12-02 06:00:00,204.26,204.36,202.59,203.78,7455.73928046,40.59,290.56
2021-12-02 07:00:00,203.78,204.99,203.61,204.19,6300.47573742,40.59,290.56
2021-12-02 08:00:00,204.19,205.56,203.94,205.11,8258.59022198,40.59,290.56
2021-12-02 09:00:00,205.21,206.38,204.96,204.97,6331.6382186,40.59,290.56
2021-12-02 10:00:00,205.12,206.28,203.49,205.17,7505.45926836,40.59,290.56
2021-12-02 11:00:00,205.15,205.46,202.07,204.06,12774.29468475,40.59,290.56
2021-12-02 12:00:00,204.09,205.26,202.34,204.7,9211.43017227,40.59,290.56
2021-12-02 13:00:00,204.76,205.27,202.24,204.05,17095.85372505,40.59,290.56
